email,group_creator,group_id,group_name,group_size,is_anonymous,joined_at,user_created,user_id
,346f783e-ed1b-4b30-9f91-7d5686fc500b,999732ae-2c49-4cef-a992-7a53f7ecf52e,NameProbe 1787593402119,2,True,2026-08-24 17:43:26.914299+00,2026-08-24 17:43:26.775815+00,853db58a-37ba-44b4-8185-0c605f9c0639
,346f783e-ed1b-4b30-9f91-7d5686fc500b,7936f976-a55a-4f05-b700-622e3cf33ee6,M4.5 Browser E2E,3,True,2026-08-27 07:22:20.889741+00,2026-08-27 07:22:20.729293+00,854bf3c9-1223-47e8-b6a3-6a5c7aac5515
,5267f2ff-4727-4556-93fa-4426f214b52c,cedcd556-8bf2-45a5-bab2-87429a026fd0,GembiraLOKA,3,True,2026-08-14 21:45:28.296811+00,2026-08-14 21:45:15.500699+00,8551dc71-5448-495a-be5d-f5be68e69de5
,8551dc71-5448-495a-be5d-f5be68e69de5,ef6eba0b-593e-4160-9c6a-b38f410a02c9,INSTR_REPRO_1786820404467,1,True,2026-08-15 19:00:04.729572+00,2026-08-14 21:45:15.500699+00,8551dc71-5448-495a-be5d-f5be68e69de5
,3911021d-6743-4e0a-8010-9ea43100c7f6,d62161f5-79bf-4b33-8f4a-7da0bb5d4bd4,Sync Test Trip,4,True,2026-08-15 16:39:08.742556+00,2026-08-14 21:45:15.500699+00,8551dc71-5448-495a-be5d-f5be68e69de5
,346f783e-ed1b-4b30-9f91-7d5686fc500b,c151479c-a2eb-460d-a273-9720aa62750f,M4.5 Browser E2E,4,True,2026-08-24 07:43:51.303296+00,2026-08-24 07:43:50.970462+00,85ef711b-c513-49ee-817d-8494dd5da4ea
,d6bd4c33-3dc2-4d78-bb67-844de63e6633,19cf18b7-42ed-4e3d-ba0b-1a41e4dd2d06,BARU BGT NIH,3,True,2026-08-13 11:00:58.885012+00,2026-08-13 10:34:12.530764+00,85f87eef-224d-4e77-99c6-26388e350f04
,85f87eef-224d-4e77-99c6-26388e350f04,e8cc6223-ae56-48dc-9b98-0b5fb664eb1c,KULALAL,3,True,2026-08-13 10:34:17.21265+00,2026-08-13 10:34:12.530764+00,85f87eef-224d-4e77-99c6-26388e350f04
,346f783e-ed1b-4b30-9f91-7d5686fc500b,b88a5790-01e9-430a-beb1-cd9a86f8f443,P07 1787814715302,2,True,2026-08-27 07:12:05.27466+00,2026-08-27 07:12:05.133427+00,87a41c35-7f2d-4ef3-8136-56c68d12cb0b
,346f783e-ed1b-4b30-9f91-7d5686fc500b,d1eda720-2e7c-4208-92c4-921fc0de6d93,Fase B Permission Test 1787601372842,2,True,2026-08-24 19:56:27.127169+00,2026-08-24 19:56:26.973925+00,87b61b63-bda6-4ad7-be6c-8cb7815316d9
,346f783e-ed1b-4b30-9f91-7d5686fc500b,69683a6f-0f18-4f48-aac7-7c7f2e582951,Fase B Permission Test 1787775600550,2,True,2026-08-26 20:20:17.557427+00,2026-08-26 20:20:17.43904+00,89823304-88b6-42f4-add2-866228034f94
,346f783e-ed1b-4b30-9f91-7d5686fc500b,58d7643e-3a54-4b56-9d5e-920dafc44e34,P0.2 V2Verify2,2,True,2026-08-24 05:42:00.674785+00,2026-08-24 05:42:00.467042+00,8b610104-7b0e-4af1-8c95-7a3eedbcce8c
,346f783e-ed1b-4b30-9f91-7d5686fc500b,91575fb6-2bcb-47f8-9c52-12a38c7d43a9,Fase D Journey 1787764383576,3,True,2026-08-26 17:13:30.052665+00,2026-08-26 17:13:29.924054+00,8b69c7a8-db9e-4592-b48e-1254b2878782
,346f783e-ed1b-4b30-9f91-7d5686fc500b,1e96e33c-0f2d-42b0-8846-7ee466e4877f,Sync 1787775976951,2,True,2026-08-26 20:26:42.663571+00,2026-08-26 20:26:42.54546+00,8becafd6-4461-4065-a722-f9ff254c131e
,346f783e-ed1b-4b30-9f91-7d5686fc500b,ac9821e6-5ef1-4236-8df3-f0c6d2cb7a8b,Fase C Wishlist Test 1787601474906,2,True,2026-08-24 19:58:15.540402+00,2026-08-24 19:58:15.414226+00,8c028e4f-4c3b-4e56-ae36-220fc35df832
